id_produto,produto,categoria_real,preco
1,Transponder Ais Maré Magnum,eletronicos,3312252.0
2,Transponder Furuno Marlin,eletronicos,1399815.0
3,Radar Furuno Pulse Leviathan,eletronicos,902419.0
4,Rádio Ais Hydro Tidal Zen,eletrunicos,338188.0
5,Piloto Automático Furuno Storm,eletronicoz,2366901.0
6,Transponder Ais Vector,eletrunicos,1182021.0
7,Radar Ais Zen,eletronicos,1951877.0
8,Gps Ais Zen,eletronicos,498415.0
9,Transponder Ais Titan Pulse,eletronicoz,397055.0
10,Piloto Automático Simrad Titan Flux Magnum,eletronicos,3203304.0
11,Gps Furuno Swift Leviathan Poseidon,eletronicos,3623191.0
12,Gps Ais Drift Flux Vox,eletrunicos,272618.0
13,Radar Simrad Boost,eletronicos,77471.0
14,Rádio Furuno Zen Swift,eletroniscos,3581108.0
15,Radar Garmin Tidal Thrust,eletronicos,2789976.0
16,Sonda Garmin Axis,eletronicos,3000599.0
17,Rádio Ais Oceanic Pulse,eletronicos,1403878.0
18,Rádio Simrad Axis,eletronicoz,2657245.0
19,Sonda Lowrance Tidal Storm Vox,eletronicos,1643235.0
20,Radar Ais Marlin,eletronicos,3083344.0
21,Gps Ais Nautic Thrust,eletronicoz,873456.0
22,Transponder Furuno Force Ion,eletronicoz,3945286.0
23,Piloto Automático Furuno Torque Peak,eletroniscos,1117863.0
24,Gps Ais Orca Marlin Velocity,eletronicos,2323218.0
25,Rádio Lowrance Nitro Thrust Barracuda,eletrunicos,1212646.0
26,Piloto Automático Furuno Core Boost Flux,eletronicos,1728318.0
27,Gps Garmin Vortex Maré Drift,eletronicos,1651145.0
28,Piloto Automático Ais Core,eletronicos,1425856.0
29,Rádio Simrad Orca,eletrunicos,3651034.0
30,Transponder Ais Boost,eletronicos,3224787.0
31,Transponder Furuno Pulse Axis,eletronicos,828311.0
32,Sonda Ais Impulse Oceanic Zenith,eletronicos,1250246.0
33,Transponder Garmin Drift Vortex Marlin,eletronicos,671577.0
34,Transponder Ais Helix Torque,eletronicos,491753.0
35,Radar Furuno Swift,eletronicos,1100553.0
36,Radar Lowrance Aqua Pulse,eletronicos,2260139.0
37,Gps Lowrance Evo Storm Drift,eletronicos,606771.0
38,Rádio Ais Force,eletronicos,2646114.0
39,Gps Furuno Vector,eletronicos,2963283.0
40,Sonda Furuno Maré Tidal,eletronicos,1418404.0
41,Gps Simrad Flow Pulse,eletronicos,106000.0
42,Transponder Lowrance Axis,eletronicoz,599284.0
43,Sonda Ais Barracuda,eletronicos,3509686.0
44,Gps Simrad Zen Hydra Peak,eletronicos,1080684.0
45,Gps Furuno Current,eletronicos,990371.0
46,Sonda Ais Magnum Boost,eletronicos,498377.0
47,Rádio Simrad Tidal Aqua,eletronicos,612296.0
48,Gps Furuno Magnum Drift,eletronicos,1473635.0
49,Sonda Furuno Swift,eletronicos,1326425.0
50,Piloto Automático Simrad Poseidon Magnum,eletronicoz,1127599.0
51,Motor Diesel Tohatsu Evo Zenith 16Hp,propulsao,6415899.0
52,Motor Diesel Honda Zen Tidal Mako 26Hp,propulcao,137041.0
53,Motor Elétrico Torqeedo Zen Titan Hydra 129Hp,prop,5367501.0
54,Motor De Popa Yamaha Evo Dash 155Hp,propulssao,12153482.0
55,Motor Diesel Volvo Flow Oceanic 259Hp,propulsao,1099872.0
56,Motor Elétrico Torqeedo Velocity Swift 74Hp,propulsao,4298877.0
