id,id_cliente,id_produto,data_venda,qtd,total
0,42,105,2023-10-09,11,3405.0
1,3,136,2024-09-15,9,16873.9
2,25,139,2024-08-13,7,9475.3
4,20,23,2023-03-02,5,55893.0
5,8,57,2024-12-02,4,451403.9
6,36,52,2023-09-26,3,39056.4
8,27,25,2024-02-28,3,34560.05
9,37,26,2023-11-07,7,114932.9
10,31,143,2024-08-25,3,12643.55
11,39,128,2023-07-05,5,23254.0
12,27,48,2024-07-29,13,191573.0
13,43,19,2024-04-28,2,31221.75
14,13,125,2024-05-06,15,48479.45
15,17,14,2023-10-14,3,102061.35
16,39,45,2024-10-07,2,18816.65
17,43,91,2023-05-09,11,1409558.7
18,25,27,2024-11-28,3,47057.3
19,37,100,2023-07-16,2,198740.0
20,39,56,2024-11-27,12,490071.75
21,17,71,2024-12-04,3,390522.0
22,29,20,2024-04-11,2,61667.0
23,7,132,2023-02-04,15,23445.0
24,45,128,2023-05-09,12,55809.0
25,8,3,2024-02-04,2,18048.0
26,19,147,2024-05-10,14,40299.95
27,23,97,2023-04-15,4,541340.0
28,41,60,2023-03-20,12,1239762.35
29,26,109,2024-03-24,7,4359.0
30,38,35,2023-07-18,15,165083.0
31,41,91,2023-03-20,13,1665842.1
32,43,40,2023-02-11,11,156024.0
33,4,92,2023-07-26,8,710833.0
34,28,73,2023-11-05,3,429480.0
35,33,35,2024-04-02,10,110055.0
36,18,136,2023-11-24,7,13123.3
37,24,32,2023-08-29,13,162532.0
38,38,87,2024-04-30,9,601739.0
39,13,71,2024-10-16,8,989322.4
40,27,116,2023-09-09,5,12878.0
41,46,34,2024-06-04,3,14753.0
42,1,6,2023-08-12,12,141843.0
43,11,70,2023-08-10,14,480976.0
44,39,81,2024-03-12,8,928328.6
45,22,149,2024-09-12,11,12160.0
46,25,120,2023-12-15,5,15622.0
47,4,60,2024-02-04,15,1631266.0
48,13,54,2024-05-30,15,1823022.0
49,14,74,2024-08-29,7,575614.5
50,8,19,2023-12-26,15,246485.0
51,2,52,2024-08-28,4,54816.0
52,45,106,2024-03-16,13,57003.0
