id,id_cliente,id_produto,data_venda,qtd,total,produto,categoria_real,preco
0,42,105,2023-10-09,11,3405.0,Cabo De Nylon Danforth Prime,ancoragem,30954.0
1,3,136,2024-09-15,9,16873.9,Cabo De Nylon Bruce Flux Hydro,ancoragem,19735.0
2,25,139,2024-08-13,7,9475.3,Boia De Arqueamento Danforth Torque,ancoragem,142488.0
4,20,23,2023-03-02,5,55893.0,Piloto Automático Furuno Torque Peak,eletronicos,1117863.0
5,8,57,2024-12-02,4,451403.9,Motor De Popa Honda Vector Kinetic 174Hp,propulsao,11879057.0
6,36,52,2023-09-26,3,39056.4,Motor Diesel Honda Zen Tidal Mako 26Hp,propulsao,137041.0
8,27,25,2024-02-28,3,34560.05,Rádio Lowrance Nitro Thrust Barracuda,eletronicos,1212646.0
9,37,26,2023-11-07,7,114932.9,Piloto Automático Furuno Core Boost Flux,eletronicos,1728318.0
10,31,143,2024-08-25,3,12643.55,Âncora Delta Hydra Kraken Velocity,ancoragem,443643.0
11,39,128,2023-07-05,5,23254.0,Boia De Arqueamento Bruce Marlin Hydra,ancoragem,465072.0
12,27,48,2024-07-29,13,191573.0,Gps Furuno Magnum Drift,eletronicos,1473635.0
13,43,19,2024-04-28,2,31221.75,Sonda Lowrance Tidal Storm Vox,eletronicos,1643235.0
14,13,125,2024-05-06,15,48479.45,Cabo De Nylon Danforth Kinetic,ancoragem,340207.0
15,17,14,2023-10-14,3,102061.35,Rádio Furuno Zen Swift,eletronicos,3581108.0
16,39,45,2024-10-07,2,18816.65,Gps Furuno Current,eletronicos,990371.0
17,43,91,2023-05-09,11,1409558.7,Motor Elétrico Tohatsu Zenith Oceanic 113Hp,propulsao,13488602.0
18,25,27,2024-11-28,3,47057.3,Gps Garmin Vortex Maré Drift,eletronicos,1651145.0
19,37,100,2023-07-16,2,198740.0,Motor Elétrico Honda Vector Abyss 220Hp,propulsao,10460024.0
20,39,56,2024-11-27,12,490071.75,Motor Elétrico Torqeedo Velocity Swift 74Hp,propulsao,4298877.0
21,17,71,2024-12-04,3,390522.0,Motor Elétrico Torqeedo Pulse 300Hp,propulsao,13017406.0
22,29,20,2024-04-11,2,61667.0,Radar Ais Marlin,eletronicos,3083344.0
23,7,132,2023-02-04,15,23445.0,Corrente Bruce Nautic Evo,ancoragem,156297.0
24,45,128,2023-05-09,12,55809.0,Boia De Arqueamento Bruce Marlin Hydra,ancoragem,465072.0
25,8,3,2024-02-04,2,18048.0,Radar Furuno Pulse Leviathan,eletronicos,902419.0
26,19,147,2024-05-10,14,40299.95,Corrente Danforth Force Leviathan Impulse,ancoragem,303008.0
27,23,97,2023-04-15,4,541340.0,Motor De Popa Tohatsu Evo 168Hp,propulsao,13533507.0
28,41,60,2023-03-20,12,1239762.35,Motor De Popa Honda Velocity Drift 258Hp,propulsao,10875109.0
29,26,109,2024-03-24,7,4359.0,Cabo De Nylon Danforth Evo Aqua Mako,ancoragem,6227.0
30,38,35,2023-07-18,15,165083.0,Radar Furuno Swift,eletronicos,1100553.0
31,41,91,2023-03-20,13,1665842.1,Motor Elétrico Tohatsu Zenith Oceanic 113Hp,propulsao,13488602.0
32,43,40,2023-02-11,11,156024.0,Sonda Furuno Maré Tidal,eletronicos,1418404.0
33,4,92,2023-07-26,8,710833.0,Motor Elétrico Yamaha Nautic Kraken 133Hp,propulsao,888541.0
34,28,73,2023-11-05,3,429480.0,Motor De Popa Torqeedo Core Hydra Flux 162Hp,propulsao,14315993.0
